(1, 30),
(1, 21),
(1, 12),
(1, 14),
(1, 15),
(1, 27),
(2, 13),
(2, 23),
(2, 5),
(2, 15),
(2, 7),
(2, 2),
(3, 7),
(3, 23),
(3, 4),
(3, 18),
(3, 27),
(3, 24),
(3, 29),
(3, 5),
(3, 9),
(3, 16),
(3, 2),
(3, 32),
(3, 28),
(3, 15),
(3, 12),
(3, 19),
(4, 18),
(4, 7),
(4, 29),
(4, 1),
(4, 11),
(4, 27),
(4, 21),
(4, 2),
(4, 9),
(4, 14),
(4, 16),
(4, 4),
(5, 23),
(5, 13),
(5, 4),
(5, 10),
(5, 21),
(5, 2),
(5, 19),
(5, 16),
(5, 25),
(5, 6),
(5, 30),
(5, 18),
(6, 18),
(6, 17),
(6, 7),
(6, 4),
(6, 15),
(7, 21),
(7, 22),
(7, 14),
(7, 18),
(7, 11),
(7, 27),
(8, 20),
(8, 16),
(8, 5),
(8, 14),
(8, 22),
(8, 12),
(8, 3),
(8, 25),
(9, 8),
(9, 4),
(9, 6),
(9, 2),
(9, 7),
(9, 16),
(10, 8),
(10, 25),
(10, 9),
(10, 28),
(10, 19),
(10, 16),
(10, 29),
(10, 30),
(10, 31),
(10, 2),
(11, 1),
(11, 30),
(11, 8),
(11, 13),
(11, 2),
(11, 9),
(11, 14),
(11, 3),
(11, 25),
(11, 20),
(12, 18),
(12, 9),
(12, 1),
(12, 16),
(12, 6),
(12, 2),
(12, 20),
(12, 28),
(12, 25),
(12, 15),
(12, 30),
(13, 29),
(13, 25),
(13, 27),
(13, 31),
(13, 30),
(13, 18),
(13, 32),
(13, 14),
(14, 15),
(14, 9),
(14, 14),
(14, 11),
(14, 28),
(15, 27),
(15, 5),
(15, 28),
(15, 24),
(15, 16),
(15, 17),
(15, 20),
(15, 25),
(15, 6),
(15, 14),
(15, 22),
(15, 29),
(15, 21),
(15, 1),
(16, 1),
(16, 6),
(16, 2),
(16, 11),
(16, 31),
(17, 25),
(17, 31),
(17, 1),
(17, 27),
(17, 19),
(17, 8),
(17, 6),
(17, 10),
(17, 21),
(17, 17),
(17, 14),
(17, 20),
(17, 28),
(17, 16),
(17, 18),
(18, 16),
(18, 15),
(18, 20),
(18, 1),
(18, 17),
(18, 31),
(19, 30),
(19, 2),
(19, 13),
(19, 11),
(19, 1),
(19, 14),
(19, 12),
(19, 19),
(19, 20),
(19, 27),
(19, 31),
(19, 32),
(20, 22),
(20, 11),
(20, 2),
(20, 31),
(20, 28),
(20, 16),
(20, 15),
(21, 2),
(21, 30),
(21, 11),
(21, 4),
(21, 14),
(21, 32),
(21, 1),
(21, 31),
(21, 20),
(22, 10),
(22, 30),
(22, 27),
(22, 22),
(22, 21),
(22, 14),
(22, 5),
(22, 8),
(22, 11),
(23, 17),
(23, 27),
(23, 11),
(23, 1),
(23, 13),
(23, 21),
(23, 10),
(23, 14),
(23, 12),
(23, 3),
(23, 31),
(23, 9),
(24, 30),
(24, 28),
(24, 12),
(24, 23),
(24, 29),
(25, 14),
(25, 27),
(25, 21),
(25, 30),
(25, 25),
(25, 19),
(25, 26),
(25, 28),
(25, 11),
(26, 2),
(26, 1),
(26, 19),
(26, 16),
(26, 11),
(26, 14),
(26, 25),
(26, 10),
(26, 28),
(26, 18),
(27, 11),
(27, 21),
(27, 12),
(27, 17),
(27, 14),
(27, 24),
(27, 29),
(28, 17),
(28, 12),
(28, 26),
(28, 10),
(28, 13),
(28, 31),
(28, 4),
(29, 18),
(29, 17),
(29, 28),
(29, 7),
(29, 27),
(29, 13),
(29, 3),
(29, 22),
(29, 16),
(29, 1),
(29, 29),
(29, 23),
(29, 15),
(30, 11),
(30, 15),
(30, 30),
(30, 4),
(30, 9),
(30, 32),
(30, 12),
(30, 8),
(30, 24),
(30, 10),
(30, 27),
(30, 5),
(31, 14),
(31, 13),
(31, 27),
(31, 12),
(31, 18),
(31, 10),
(31, 16),
(31, 30),
(31, 1),
(32, 6),
(32, 28),
(32, 20),
(32, 25),
(32, 26),
(32, 13),
(32, 32),
(32, 7),
(32, 12),
(32, 23),
(32, 14),
(32, 21),
(33, 18),
(33, 2),
(33, 29),
(33, 30),
(33, 19),
(33, 26),
(33, 12),
(33, 21),
(33, 22),
(33, 25),
(33, 15),
(34, 30),
(34, 6),
(34, 12),
(34, 26),
(34, 13),
(34, 25),
(34, 32),
(34, 14),
(34, 27),
(34, 15),
(34, 23),
(35, 2),
(35, 7),
(35, 29),
(35, 6),
(35, 32),
(35, 28),
(35, 31),
(35, 30),
(35, 23),
(36, 24),
(36, 14),
(36, 17),
(36, 19),
(36, 8),
(36, 1),
(36, 12),
(37, 15),
(37, 29),
(37, 31),
(37, 7),
(37, 28),
(37, 32),
(37, 14),
(37, 22),
(37, 25),
(37, 13),
(37, 18),
(38, 1),
(38, 19),
(38, 31),
(38, 13),
(38, 2),
(38, 25),
(38, 30),
(38, 15),
(39, 9),
(39, 5),
(39, 22),
(39, 12),
(39, 2),
(39, 6),
(39, 17),
(39, 30),
(39, 4),
(39, 16),
(40, 1),
(40, 4),
(40, 9),
(40, 22),
(40, 27),
(40, 30),
(40, 17),
(40, 11),
(40, 12),
(40, 3),
(40, 23),
(40, 29),
(41, 13),
(41, 1),
(41, 4),
(41, 20),
(41, 18),
(41, 10),
(41, 26),
(42, 1),
(42, 24),
(42, 8),
(42, 6),
(42, 32),
(42, 26),
(43, 22),
(43, 12),
(43, 31),
(43, 29),
(43, 1),
(43, 5),
(43, 26),
(43, 18),
(43, 19),
(43, 28),
(43, 21),
(43, 11),
(44, 12),
(44, 32),
(44, 3),
(44, 28),
(44, 17),
(44, 26),
(44, 22),
(44, 23),
(44, 16),
(44, 6),
(45, 29),
(45, 3),
(45, 9),
(45, 27),
(45, 19),
(45, 16),
(45, 2),
(45, 31),
(45, 20),
(45, 21),
(45, 10),
(46, 26),
(46, 31),
(46, 25),
(46, 22),
(46, 8),
(46, 11),
(47, 20),
(47, 25),
(47, 24),
(47, 30),
(47, 10),
(48, 7),
(48, 11),
(48, 2),
(48, 31),
(48, 10),
(48, 22),
(48, 3),
(48, 1),
(48, 30),
(48, 17),
(48, 24),
(48, 32),
(48, 13),
(48, 4),
(49, 21),
(49, 14),
(49, 32),
(49, 7),
(49, 30),
(49, 6),
(49, 19),
(50, 31),
(50, 20),
(50, 9),
(50, 21),
(50, 11),
(50, 6),
(50, 5),
(50, 1);
