(NULL, 1653, 40),
(NULL, 710, 18),
(NULL, 268, 9),
(NULL, 309, 21),
(NULL, 1571, 2),
(NULL, 501, 43),
(NULL, 1995, 26),
(NULL, 456, 7),
(NULL, 180, 15),
(NULL, 1580, 43),
(NULL, 503, 43),
(NULL, 1595, 43),
(NULL, 916, 46),
(NULL, 318, 29),
(NULL, 1152, 31),
(NULL, 593, 13),
(NULL, 331, 50),
(NULL, 527, 40),
(NULL, 98, 7),
(NULL, 573, 4),
(NULL, 1882, 6),
(NULL, 1179, 19),
(NULL, 1990, 46),
(NULL, 1856, 14),
(NULL, 1780, 33),
(NULL, 1386, 26),
(NULL, 1031, 27),
(NULL, 1529, 25),
(NULL, 1436, 37),
(NULL, 1905, 39),
(NULL, 953, 29),
(NULL, 774, 19),
(NULL, 841, 41),
(NULL, 1208, 24),
(NULL, 1906, 38),
(NULL, 665, 16),
(NULL, 1314, 41),
(NULL, 1391, 5),
(NULL, 938, 16),
(NULL, 881, 41),
(NULL, 366, 37),
(NULL, 1040, 32),
(NULL, 1370, 50),
(NULL, 759, 34),
(NULL, 778, 13),
(NULL, 393, 33),
(NULL, 1885, 31),
(NULL, 1074, 3),
(NULL, 1810, 1),
(NULL, 1745, 43),
(NULL, 831, 13),
(NULL, 1623, 46),
(NULL, 951, 23),
(NULL, 1584, 48),
(NULL, 587, 31),
(NULL, 1263, 47),
(NULL, 1981, 49),
(NULL, 540, 27),
(NULL, 605, 29),
(NULL, 1725, 17),
(NULL, 1148, 18),
(NULL, 1037, 30),
(NULL, 921, 47),
(NULL, 1072, 9),
(NULL, 842, 14),
(NULL, 408, 43),
(NULL, 591, 29),
(NULL, 1821, 47),
(NULL, 558, 46),
(NULL, 458, 34),
(NULL, 329, 40),
(NULL, 286, 37),
(NULL, 509, 17),
(NULL, 485, 19),
(NULL, 1442, 42),
(NULL, 1864, 15),
(NULL, 501, 34),
(NULL, 1575, 10),
(NULL, 959, 40),
(NULL, 461, 10),
(NULL, 1299, 25),
(NULL, 57, 5),
(NULL, 1106, 21),
(NULL, 70, 15),
(NULL, 342, 20),
(NULL, 1565, 29),
(NULL, 1675, 20),
(NULL, 498, 48),
(NULL, 1577, 50),
(NULL, 256, 22),
(NULL, 1395, 41),
(NULL, 1878, 41),
(NULL, 1687, 28),
(NULL, 1776, 26),
(NULL, 1970, 10),
(NULL, 1925, 29),
(NULL, 1595, 6),
(NULL, 660, 50),
(NULL, 985, 29),
(NULL, 276, 13),
(NULL, 886, 37),
(NULL, 1699, 16),
(NULL, 910, 50),
(NULL, 457, 12),
(NULL, 1880, 22),
(NULL, 1289, 4),
(NULL, 1440, 29),
(NULL, 1129, 9),
(NULL, 190, 44),
(NULL, 754, 50),
(NULL, 391, 20),
(NULL, 80, 43),
(NULL, 207, 25),
(NULL, 1633, 6),
(NULL, 824, 6),
(NULL, 1981, 14),
(NULL, 701, 45),
(NULL, 303, 15),
(NULL, 583, 13),
(NULL, 708, 1),
(NULL, 67, 27),
(NULL, 1262, 48),
(NULL, 65, 44),
(NULL, 1649, 45),
(NULL, 1373, 1),
(NULL, 5, 44),
(NULL, 823, 1),
(NULL, 1710, 44),
(NULL, 250, 38),
(NULL, 1395, 33),
(NULL, 720, 9),
(NULL, 1439, 30),
(NULL, 923, 35),
(NULL, 662, 48),
(NULL, 1326, 13),
(NULL, 1154, 17),
(NULL, 812, 35),
(NULL, 18, 22),
(NULL, 351, 43),
(NULL, 162, 21),
(NULL, 671, 36),
(NULL, 498, 7),
(NULL, 1559, 22),
(NULL, 891, 23),
(NULL, 509, 17),
(NULL, 1117, 11),
(NULL, 1545, 10),
(NULL, 1654, 33),
(NULL, 362, 39),
(NULL, 1986, 36),
(NULL, 441, 37),
(NULL, 1728, 37),
(NULL, 471, 30),
(NULL, 1903, 8),
(NULL, 888, 18),
(NULL, 1604, 50),
(NULL, 1223, 19),
(NULL, 1633, 1),
(NULL, 120, 23),
(NULL, 1790, 29),
(NULL, 243, 4),
(NULL, 1455, 22),
(NULL, 358, 50),
(NULL, 312, 40),
(NULL, 1767, 47),
(NULL, 1417, 1),
(NULL, 655, 36),
